# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Feb  4 04:22:30 2022
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN st_pmra:        PMRA [mas/yr]
# COLUMN st_pmdec:       PMDec [mas/yr]
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandep:     Planet Transit Depth Value [ppm]
# COLUMN pl_rade:        Planet Radius Value [R_Earth]
# COLUMN pl_insol:       Planet Insolation Value [Earth flux]
# COLUMN pl_eqt:         Planet Equilibrium Temperature Value [K]
# COLUMN st_tmag:        TESS Magnitude
# COLUMN st_dist:        Stellar Distance [pc]
# COLUMN st_teff:        Stellar Effective Temperature Value [K]
# COLUMN st_logg:        Stellar log(g) Value [cm/s**2]
# COLUMN st_rad:         Stellar Radius Value [R_Sun]
# COLUMN toi_created:    TOI Created Date
# COLUMN rowupdate:      Date Modified
#
toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
101.01,231663901,KP,21h14m56.88s,318.7370120,-55d52m18.71s,-55.8718630,12.6410000,-16.0110000,2459036.9041040,1.4303691,1.6438728,19151.2162143,13.2504933,1281.2417920,1525.9050967,12.4069000,375.3100000,5600.0000000,4.4885100,0.8907740,2018-09-05 18:49:20,2021-10-29 12:59:15
1010.01,139853601,FP,07h29m10.56s,112.2939810,-21d49m58.48s,-21.8329120,-5.7460000,4.5020000,2459228.8781010,0.6808702,2.4634563,1507.8006889,5.9115908,87140.6995884,4382.0266062,8.4508600,485.1220000,9438.0000000,,1.0000000,2019-07-24 15:58:33,2021-10-29 12:59:15
1011.01,114018671,PC,07h35m56.34s,113.9847610,-32d50m31.2s,-32.8419990,145.1020000,-134.9010000,2459231.1308440,2.4696958,2.3244437,233.4371605,1.4549384,555.1966304,1238.0308162,8.2388000,52.6200000,5413.7000000,4.4600000,0.9413350,2019-07-24 15:58:33,2021-10-29 12:59:15
1012.01,427508467,PC,07h48m22.87s,117.0952850,+06d47m06.23s,6.7850640,-2.9900000,-0.0290000,2459252.5095950,0.8841820,1.6210000,1890.0000000,24.8132000,112144.0000000,5098.0000000,8.1271800,295.9590000,8928.0000000,3.9200000,2.7200000,2019-07-24 15:58:33,2021-10-29 12:59:15
1013.01,97700520,FP,07h09m08.66s,107.2860630,-31d56m00.68s,-31.9335230,-3.9730000,7.0610000,2459232.2483220,5.4255548,3.9637474,14939.6342222,,273.5880696,1037.2753045,7.6095000,510.2950000,8868.7000000,,,2019-07-24 15:58:33,2021-10-29 12:59:15
1014.01,96246348,PC,06h54m14.78s,103.5616020,-34d13m22.15s,-34.2228200,-13.0630000,9.7370000,2459201.9730100,1.4095043,1.3502669,3554.1212006,,1650.4441307,1625.6234538,7.6780000,224.6720000,9307.0000000,,,2019-07-24 15:58:33,2021-10-29 12:59:15
1015.01,155044736,PC,08h11m35.03s,122.8959640,-27d58m18.83s,-27.9718960,1.5660000,-17.9740000,2459229.0354060,1.3734992,1.6528441,1062.6115541,21.9288943,3159.2442220,1912.1217852,10.7069000,906.4960000,4897.0000000,,6.7996100,2019-04-01 16:51:56,2021-10-29 12:59:15
1016.01,175310067,FP,07h44m26.59s,116.1107710,-36d05m53.83s,-36.0982850,-9.2310000,11.6140000,2459238.8311380,12.6889415,7.9201001,3232.8527885,14.0608342,425.1594177,1158.1310368,10.6257000,368.6460000,7601.0000000,4.3100000,1.5364100,2019-04-01 16:52:03,2021-10-29 12:59:15
1017.01,182943944,FP,08h18m54.34s,124.7264110,-37d46m59.7s,-37.7832500,-11.2780000,9.5930000,2458518.9653600,1.1042200,2.3700000,14177.7000000,21.0448000,39459.3000000,3926.0000000,10.6019000,406.9970000,6995.2000000,4.0700000,1.6100000,2019-07-24 17:08:12,2021-10-29 12:59:15
1018.01,291555748,FP,07h26m51.84s,111.7160190,-50d15m59.64s,-50.2665670,-8.0180000,11.5600000,2458492.7807800,4.9591200,2.5090000,7440.0000000,22.9123000,673.5500000,1419.0000000,10.6254000,360.5410000,5889.0000000,3.8600000,2.0000000,2019-04-01 16:52:01,2021-10-29 12:59:15
1019.01,341420329,PC,08h00m35.52s,120.1479940,-54d52m42.79s,-54.8785520,-11.7320000,2.5860000,2459232.4467770,5.2340964,3.6909047,20542.2936714,24.0878820,1453.6680068,1574.8386241,10.6348000,399.5440000,7645.0000000,4.3000000,1.5620300,2019-07-24 17:08:12,2021-10-29 12:59:15
102.01,149603524,KP,05h48m33.56s,87.1398210,-63d59m17.98s,-63.9883290,-15.6410000,26.0460000,2459384.9431220,4.4119288,3.8940000,14790.0000000,15.2023000,999.8330000,1566.0000000,9.7109000,175.6310000,6280.0000000,4.3209200,1.2100000,2019-05-07 17:42:37,2021-10-29 12:59:15
1020.01,140706664,FP,08h33m31.67s,128.3819760,-43d49m42.32s,-43.8284210,-5.8140000,4.3280000,2458521.2910800,3.2889200,3.7930000,10518.9000000,,29832.6000000,3661.0000000,10.7173000,906.8270000,8734.2000000,4.1000000,,2019-07-24 17:08:12,2021-10-29 12:59:15
1021.01,143994283,FP,07h57m12.18s,119.3007500,-42d59m56.94s,-42.9991490,-3.2110000,-15.0820000,2458492.9042900,1.9087900,1.9090000,618.4820000,3.3468800,985.8070000,1561.0000000,10.5551000,235.9740000,6022.6000000,4.5200000,1.2200000,2019-07-24 17:08:12,2021-10-29 12:59:15
1022.01,47384844,PC,10h51m51.58s,162.9649100,-05d47m19.35s,-5.7887080,-15.7870000,-11.8490000,2458547.4480000,3.0957400,4.4750000,380.0000000,3.4262000,18087.9000000,3230.0000000,8.7292400,120.6660000,6084.0000000,4.1300000,1.4100000,2019-06-04 14:32:44,2021-12-07 16:02:02
1023.01,238374636,FP,08h03m21.05s,120.8376880,-51d20m44.25s,-51.3456260,-23.3660000,22.6520000,2459303.3039690,1.3214483,3.4350000,2180.0000000,21.8839000,35623.2000000,3827.0000000,9.6970000,316.3980000,5050.8000000,3.5600000,2.9900000,2019-07-24 18:44:12,2021-12-07 16:02:02
1024.01,141482386,FP,05h47m16.97s,86.8207140,-72d25m21.4s,-72.4226110,1.1280000,11.5630000,2458339.7227600,18.0157000,2.5240000,610.0000000,21.6440000,7.6436400,463.0000000,10.0814000,692.2660000,4709.0000000,,7.6100000,2019-07-24 18:44:12,2021-10-29 12:59:15
1025.01,297967252,PC,09h30m05.08s,142.5211590,-51d31m01.61s,-51.5171140,-19.1530000,11.0460000,2458545.1498960,9.6837920,2.3975780,4245.2906158,,3176.3107352,1914.6989326,5.5324000,129.8380000,8598.7000000,,,2019-07-24 18:44:12,2021-10-29 12:59:15
1026.01,388624270,FP,08h21m44.31s,125.4346340,-51d45m33.99s,-51.7594420,47.2280000,-6.3250000,2459237.4597340,14.2694372,6.9350494,1246.3921871,3.7255381,51.2588496,682.4360542,9.9138000,105.6770000,5690.0000000,4.5800000,0.8538980,2019-06-11 14:45:00,2021-10-29 12:59:15
1027.01,20318757,PC,11h08m31.99s,167.1332750,-29d39m11.29s,-29.6531350,-87.5540000,12.9920000,2459302.3737990,3.2834447,1.3840000,1220.0000000,2.6999400,79.7847000,832.0000000,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000,2019-07-24 18:44:12,2021-10-29 12:59:15
1027.02,20318757,PC,11h08m31.99s,167.1332750,-29d39m11.29s,-29.6531350,-87.5540000,12.9920000,2459304.6284400,11.0285857,3.1640000,1770.0000000,3.1211100,53.4063000,753.0000000,10.2103000,56.3449000,4272.0000000,4.6000000,0.6800000,2021-06-03 22:37:59,2021-10-29 12:59:15
1028.01,447283466,FP,10h28m23.6s,157.0983370,-51d42m19.47s,-51.7054090,30.6500000,-33.9060000,2458544.4806600,1.0160600,2.8430000,240.0000000,1.2070400,2784.0400000,2023.0000000,7.9059000,23.7748000,4634.0000000,4.6400000,0.6800000,2019-07-24 18:44:12,2021-10-29 12:59:15
1029.01,374908020,FP,05h54m57.38s,88.7390900,-65d57m31.82s,-65.9588390,,,2458365.8931300,36.2221400,5.1070000,7170.0000000,,,,6.8410000,,,,,2019-06-11 14:45:03,2021-12-07 16:02:02
103.01,336732616,KP,20h49m49.8s,312.4574880,-24d25m43.3s,-24.4286940,10.4260000,15.6200000,2458327.2525600,3.5478540,3.4943330,10424.3718000,14.5818410,1212.0043760,1504.8589530,11.5232000,411.2110000,6351.0000000,4.2289600,1.4000000,2018-09-05 18:49:20,2021-10-29 12:59:15
1030.01,464296022,FP,10h23m19.55s,155.8314780,-57d35m24.89s,-57.5902480,-26.1840000,22.4890000,2458551.3274700,12.1236900,4.8490000,6142.7700000,9.2566400,223.1950000,1076.0000000,9.5706000,78.4127300,4807.6000000,4.1700000,1.0700000,2019-07-24 18:44:12,2021-10-29 12:59:15
1031.01,304021498,FP,09h23m32.13s,140.8838900,-67d01m33.62s,-67.0260060,-23.9010000,3.0300000,2459282.2398610,5.6496834,2.5612882,1194.3338558,6.7892616,1226.2203257,1509.2524073,9.7318000,270.7710000,6415.4000000,3.9800000,1.9220001,2019-06-25 15:58:39,2021-10-29 12:59:15
1032.01,146589986,PC,10h36m53.16s,159.2215060,-42d32m29.9s,-42.5416390,-15.1500000,6.4370000,2459283.8298870,5.6644730,3.6459666,3449.5814551,14.3057012,7657.4773686,2385.8392559,9.7611000,587.1960000,10395.0000000,4.1300000,2.3383701,2019-07-24 18:44:12,2021-10-29 12:59:15
1033.01,149601557,FP,05h49m07.82s,87.2825860,-60d29m54.4s,-60.4984440,8.9000000,20.7000000,2459179.5445500,29.0162503,6.5070000,1440.0000000,9.8422300,159.1890000,,10.0163000,219.9400000,6113.1000000,,2.0100000,2019-06-11 14:45:00,2021-10-29 12:59:15
1034.01,400595342,FP,08h57m46.02s,134.4417520,-49d00m02.08s,-49.0005780,-4.8370000,4.1090000,2459283.3375370,3.6344692,2.5339234,628.6990150,4.2048368,5420.1783490,2188.3820499,9.8174000,363.4400000,9810.0000000,4.4300000,1.6077600,2019-07-24 18:44:12,2021-10-29 12:59:15
1035.01,361413119,PC,09h36m36.07s,144.1502730,-61d34m59.46s,-61.5831820,-9.5060000,16.8970000,2459311.1690300,6.0749453,2.5945424,6048.0816542,29.1368995,1487.4019595,1583.8966377,10.1126000,347.5560000,5964.0000000,3.7000000,2.4303801,2019-07-24 18:44:12,2021-10-29 12:59:15
1036.01,146172354,PC,10h31m28.11s,157.8671120,-42d14m25.61s,-42.2404480,10.9920000,-57.7480000,2459303.9453570,3.7795364,3.2380000,2340.0000000,6.1096600,973.1810000,1556.0000000,10.2855000,184.0150000,5771.0000000,4.3100000,1.1800000,2019-07-24 18:44:12,2021-10-29 12:59:15
1037.01,363260203,FP,09h49m32.44s,147.3851720,-63d18m23.32s,-63.3064780,-19.6870000,10.9530000,2459308.3056350,1.2013272,3.4475374,427.3925883,3.7397226,22275.4350050,3115.8482486,9.0211000,279.6980000,9158.0000000,4.3200000,1.7416101,2019-07-24 18:44:12,2021-10-29 12:59:15
1038.01,90544017,FP,08h33m49.11s,128.4546380,-49d56m25.25s,-49.9403470,-15.5000000,7.0000000,2459273.3716430,3.2235985,2.1590000,680.0000000,5.5134100,2064.8000000,,8.7157000,280.7650000,8904.0000000,4.0900000,2.1700000,2019-07-24 18:44:12,2021-10-29 12:59:15
1039.01,461867584,APC,09h58m45.25s,149.6885450,-58d45m37.63s,-58.7604530,-6.4340000,4.0980000,2459284.2122910,4.4205396,4.8490726,5756.6991096,,359.5193874,1110.5812279,8.5483000,2864.3400000,,,,2019-07-24 18:44:12,2021-10-29 12:59:15
104.01,231670397,KP,21h19m47.93s,319.9496970,-58d08m56.16s,-58.1489330,10.5520000,-10.6580000,2459038.8635660,4.0872994,5.5861130,3572.1712499,13.6237732,2242.3605401,1755.0767383,9.8638000,316.6780000,6036.0000000,3.9335900,2.2186699,2018-09-05 18:49:20,2021-12-01 16:02:01
1040.01,310483807,FP,08h34m27.41s,128.6142100,-61d29m17.74s,-61.4882620,-11.7800000,6.7250000,2458520.6567400,2.5555500,1.5660000,340.0000000,11.5901000,3520.6800000,2145.0000000,8.3854000,732.4320000,10037.0000000,,6.0400000,2019-07-24 18:44:12,2021-10-29 12:59:15
1041.01,385624852,FP,09h13m36.54s,138.4022520,-55d11m52.48s,-55.1979100,-14.1890000,14.2610000,2459261.8012160,8.3079200,3.2280000,8350.0000000,43.1068000,2276.2500000,1924.0000000,8.0981000,305.0340000,9081.0000000,3.8300000,3.0500000,2019-07-24 18:44:12,2021-10-29 12:59:15
1042.01,360286627,PC,09h27m54.05s,141.9752150,-61d19m48.14s,-61.3300400,-11.5950000,3.1390000,2459331.3664200,0.7581018,1.0780000,780.0000000,10.0744000,17894.0000000,3222.0000000,9.7180000,792.6330000,9917.0000000,3.7500000,3.5100000,2019-07-24 18:44:12,2021-11-10 16:02:01
1043.01,90448944,FP,08h33m12.56s,128.3023190,-52d42m51.13s,-52.7142020,-9.4960000,14.6590000,2459305.3558630,1.4415711,2.3820000,440.0000000,3.0681400,4670.4200000,2303.0000000,9.5719000,208.0550000,6902.0000000,4.2500000,1.5200000,2019-07-24 18:44:12,2021-12-06 12:01:50
1044.01,463402815,PC,10h15m14.65s,153.8110230,-58d45m59.01s,-58.7663930,-14.4410000,6.2140000,2459308.0444140,1.0081743,2.1503902,3152.9205585,,2580.1315495,1817.7335031,10.0031000,494.6890000,5215.2000000,,,2019-07-24 18:44:12,2021-10-29 12:59:15
1045.01,54044474,FP,10h39m33.05s,159.8877040,-32d30m42.77s,-32.5118800,-34.6090000,14.6670000,2459301.5441260,3.7039994,4.2770000,7590.0000000,17.5700000,3546.1300000,2149.0000000,9.6306000,300.6960000,7013.8000000,4.2100000,1.9000000,2019-07-24 18:44:12,2021-12-07 16:02:02
1046.01,309787037,FP,08h25m40.67s,126.4194680,-60d54m27.05s,-60.9075140,-1.5360000,-9.9790000,2459255.7600330,1.3038898,2.0447388,747.4366999,4.9129908,8225.7238977,2428.9203951,10.0119000,301.2980000,6762.0000000,4.1100000,1.7528900,2019-07-24 18:44:12,2021-10-29 12:59:15
1047.01,370745311,FP,09h38m19.57s,144.5815350,-67d30m18.35s,-67.5050970,-35.4120000,24.0840000,2458544.7906100,0.6262700,0.6660000,1880.0000000,5.7216200,3235.5700000,2101.0000000,10.2355000,134.9260000,5622.0000000,4.5000000,0.9300000,2019-07-24 18:44:12,2021-10-29 12:59:15
1048.01,384549882,FP,09h06m06.65s,136.5277020,-54d54m14.12s,-54.9039220,-10.8630000,7.0630000,2458518.3760000,0.3041200,0.7480000,1330.0000000,10.4170000,280833.0000000,6413.0000000,8.8020000,440.4260000,11892.0000000,4.1400000,2.5200000,2019-07-24 18:44:12,2021-10-29 12:59:15
1049.01,16288184,KP,16h55m04.52s,253.7688480,-28d42m38.1s,-28.7105840,-8.5680000,-5.5620000,2459363.8213930,2.1805771,2.9057811,16604.0927085,16.6900682,1770.4115414,1879.1758455,11.0657000,314.9950000,6599.0000000,4.2101700,1.2714601,2019-07-15 19:20:04,2021-10-29 12:59:15
105.01,144065872,KP,22h29m49.88s,337.4578240,-48d00m11.16s,-48.0030990,91.9760000,-6.8610000,2459084.5850100,2.1846669,2.8652800,11708.0228549,13.7028527,1362.1381428,1549.4409801,9.4995000,137.5440000,5630.0000000,4.3775900,1.2382400,2018-09-05 18:49:20,2021-12-08 16:02:02
1050.01,66818296,KP,15h59m50.94s,239.9622480,-28d03m42.46s,-28.0617940,-8.1000000,-9.6390000,2459336.8678800,3.7355697,4.3263124,16789.0595610,21.0809254,1498.7596613,1586.9116502,11.0261000,405.9080000,6650.0000000,4.1639000,1.5732300,2019-07-15 19:20:05,2021-10-29 12:59:15
1051.01,259863352,FA,02h41m27.83s,40.3659390,-71d27m45.9s,-71.4627490,168.1700000,-56.0400000,2458657.7366250,21.7016690,8.2676424,211.6567325,2.3751494,52.0950000,685.2000000,7.1278000,53.1914900,5625.0000000,4.4380000,1.5648600,2019-08-16 20:20:45,2021-10-29 12:59:15
1052.01,317060587,PC,22h30m02.47s,337.5102740,-75d38m47.62s,-75.6465610,-63.3270000,-1.9420000,2458332.9412290,9.1398040,3.0912936,358.4157801,3.0629855,243.0117630,1006.9932829,9.0197000,129.8040000,5958.2000000,4.3400000,1.5800000,2019-08-16 20:20:47,2021-12-08 10:10:01
1053.01,112395568,FP,19h23m54.51s,290.9771170,-33d21m05.1s,-33.3514160,-18.6920000,-8.1920000,2458657.9991790,5.7426250,2.8602930,1105.7608670,13.0885320,,,8.8849000,263.7290000,5664.0000000,3.2657400,3.8695900,2019-08-16 20:20:42,2021-10-29 12:59:15
1054.01,366989877,CP,20h08m27.4s,302.1141740,-54d19m03s,-54.3175010,1.5940000,-15.9030000,2458664.9708210,15.5077301,5.0493600,636.1674517,3.0547686,104.8330856,816.1018114,8.4362000,88.4343000,6122.0000000,4.3088100,1.1709200,2019-08-16 20:20:48,2022-01-22 12:02:01
1055.01,320004517,CP,19h33m08.79s,293.2866150,-54d31m57.82s,-54.5327280,108.4390000,-82.6320000,2458661.0629970,17.4712881,4.2979320,1219.5496151,3.4371030,53.3701121,689.3571404,8.0888000,57.2651000,5783.5400000,4.4992500,0.9746690,2019-08-16 20:20:47,2021-12-09 10:10:02
1056.01,421894914,PC,22h37m02.09s,339.2587030,-76d55m03.38s,-76.9176050,9.7160000,-20.1680000,2458326.0597650,5.3079888,3.1395198,395.4716052,2.8997170,603.2343378,1263.9830884,9.6663000,168.3540000,6124.3000000,4.3800000,1.3696300,2019-08-16 20:20:50,2021-10-29 12:59:15
1057.01,323132914,PC,08h31m59.26s,127.9969170,-78d24m27.23s,-78.4075640,117.7210000,-24.5650000,2458607.3469030,51.1648219,6.2549575,968.3134295,3.0311043,,,9.4091000,98.2855000,5599.0000000,4.4613800,0.9689520,2019-08-16 20:20:47,2021-10-29 12:59:15
1058.01,31553893,PC,19h15m38.83s,288.9117720,-31d47m26.93s,-31.7908130,3.2260000,-16.3230000,2458663.0235910,11.1296402,7.1068241,968.6119325,12.9783824,1255.7000000,1518.2000000,9.3781000,338.8310000,5785.0000000,4.3440000,3.4475601,2019-08-16 20:20:41,2021-10-29 12:59:15
1059.01,380783252,PC,17h58m51.48s,269.7145030,-60d55m21.82s,-60.9227270,4.2970000,-207.4090000,2459378.7143160,9.4496506,2.0210000,19750.0000000,17.0216000,38.5799000,694.0000000,9.7825000,98.8783000,5509.0000000,4.3975800,0.9400000,2019-08-16 20:20:49,2021-10-29 12:59:15
106.01,38846515,KP,04h35m50.36s,68.9598160,-64d01m37.34s,-64.0270390,10.8450000,-0.4990000,2459386.7153180,2.8493824,3.8060000,7730.0000000,16.4149000,3854.8800000,2195.0000000,10.3157000,364.4110000,6900.0000000,4.4380000,1.7700000,2019-05-07 17:42:35,2021-10-29 12:59:15
1060.01,101230735,APC,19h57m09.84s,299.2909950,-48d56m04.11s,-48.9344760,2.2240000,-14.6040000,2458653.9675540,2.0685590,0.9982308,581.9546407,2.8451407,1195.9870751,1499.8622384,9.6652000,128.4910000,5687.9000000,4.6000000,1.1390600,2019-08-16 20:20:42,2021-10-29 12:59:15
1061.01,253990973,FP,18h58m45.34s,284.6889080,-41d14m32.94s,-41.2424830,24.9780000,-71.7900000,2458654.2532490,0.5409330,1.6743370,257.3474590,2.2850100,,,9.7345000,133.1710000,5525.0000000,4.2534200,1.2193500,2019-08-16 20:20:44,2021-10-29 12:59:15
1062.01,299799658,CP,02h32m29.03s,38.1209680,-78d01m25.26s,-78.0236830,107.8470000,30.7320000,2458325.4267810,4.1150133,1.1960092,524.8418785,2.0840072,225.9571600,988.8405704,9.4780000,82.1733000,5394.0000000,4.5094200,0.8873360,2019-08-16 20:20:47,2022-01-12 12:02:22
1063.01,406976746,PC,15h22m13.32s,230.5554930,-83d03m22.37s,-83.0562140,-89.1250000,-9.6000000,2459374.3153370,10.0665634,1.9810000,640.0000000,2.0996600,23.8187000,615.0000000,9.0689000,61.1201000,5552.0000000,4.6178300,0.7900000,2019-08-16 20:20:49,2021-10-29 12:59:15
1064.01,79748331,CP,19h44m00.94s,296.0039350,-47d33m43.31s,-47.5620300,-3.4570000,-100.8910000,2458656.6682500,6.4438568,1.9034071,1067.3219754,2.4800254,60.8314178,712.2816141,10.0059000,68.0726000,4803.0000000,4.5207900,0.7371890,2019-08-16 20:20:42,2022-01-12 12:02:22
1064.02,79748331,CP,19h44m00.94s,296.0039350,-47d33m43.31s,-47.5620300,-3.4570000,-100.8910000,2458664.4912650,12.2264881,2.1689136,1245.0598500,2.5664499,25.8972395,575.3513252,10.0059000,68.0726000,4803.0000000,4.5207900,0.7371890,2019-08-16 20:20:42,2022-01-12 12:02:22
1065.01,7088246,KP,19h05m28.02s,286.3667500,-50d04m02.46s,-50.0673500,7.3150000,-0.8620000,2458654.3479940,2.1603440,1.8288540,19357.9929920,22.5035410,,,13.2851000,639.0040000,5780.0000000,4.3292800,1.2000000,2019-08-16 20:20:41,2021-10-29 12:59:15
1066.01,201604954,KP,19h00m23.16s,285.0965170,-54d53m36.03s,-54.8933410,3.9900000,-37.1900000,2458657.8325370,4.6061840,3.1216430,13793.0348670,12.9622190,,,11.9707000,353.8910000,5670.0000000,4.3925000,1.0700000,2019-08-16 20:20:44,2021-10-29 12:59:15
1067.01,201642601,KP,19h14m41.28s,288.6720050,-59d34m45.66s,-59.5793500,3.1250000,6.1460000,2459039.0509100,3.1316589,2.3372757,13763.7161384,8.8310592,148.6554235,890.5635978,13.1686000,263.6090000,4351.0000000,4.4380000,0.7670100,2019-08-16 20:20:44,2021-12-09 10:10:02
1068.01,6663331,KP,18h57m35.94s,284.3997620,-49d08m18.65s,-49.1385130,11.0960000,-5.7640000,2458656.6332310,3.1803620,2.1115210,21192.4633240,13.4464870,,,13.2887000,535.3830000,5498.0000000,4.4793400,0.9200000,2019-08-16 20:20:41,2021-10-29 12:59:15
1069.01,31858843,KP,19h17m55.01s,289.4792120,-32d51m36.45s,-32.8601240,-16.7780000,-31.8030000,2458655.5795890,2.9776369,3.1240443,12242.3706105,14.0369087,865.4929900,1383.3613518,10.4293000,197.9960000,5703.0000000,4.2582400,1.2202600,2019-08-16 20:20:41,2021-12-08 16:02:02
107.01,92352620,KP,20h55m07.98s,313.7832390,-34d08m08.7s,-34.1357510,26.3760000,-44.9470000,2459039.3358460,3.9502009,4.5643642,12813.7629308,19.7058959,1364.0898402,1549.9956992,9.6433000,211.2110000,6153.0000000,4.1807700,1.7103601,2018-09-05 18:49:20,2021-10-29 12:59:15
